Time,X,Y,Z
4710,8.10761,-8.28108,-3.11295
4720,8.09294,-8.24736,-3.2381
4730,8.07728,-8.21234,-3.36379
4740,8.06068,-8.17612,-3.48948
4750,8.04322,-8.13886,-3.61462
4760,8.02503,-8.10069,-3.73868
4770,8.00624,-8.06175,-3.86113
4780,7.98704,-8.02217,-3.98145
4790,7.96763,-7.98212,-4.09911
4800,7.94823,-7.94173,-4.21362
4810,7.92911,-7.90115,-4.32447
4820,7.91053,-7.86055,-4.43118
4830,7.8928,-7.82006,-4.53326
4840,7.87622,-7.77986,-4.63023
4850,7.86113,-7.74009,-4.72162
4860,7.84787,-7.70092,-4.80696
4870,7.83678,-7.66249,-4.8858
4880,7.82823,-7.62498,-4.95767
4890,7.82256,-7.58855,-5.02211
4900,7.82012,-7.55334,-5.07866
4910,7.82126,-7.51953,-5.12685
4920,7.8263,-7.48728,-5.1662
4930,7.83557,-7.45675,-5.19623
4940,7.84934,-7.4281,-5.21644
4950,7.86787,-7.4015,-5.22631
4960,7.8914,-7.37712,-5.22532
4970,7.92009,-7.35512,-5.21291
4980,7.95408,-7.33568,-5.18849
4990,7.99345,-7.31896,-5.15147
5000,8.03821,-7.30514,-5.1012
5010,8.09024,-7.29321,-5.03558
5020,8.15089,-7.28207,-4.95323
5030,8.21923,-7.27169,-4.85455
5040,8.29429,-7.26208,-4.73993
5050,8.37502,-7.25322,-4.60976
5060,8.46034,-7.24511,-4.46443
5070,8.54914,-7.23774,-4.30434
5080,8.64031,-7.2311,-4.12993
5090,8.73269,-7.22518,-3.94168
5100,8.82517,-7.21997,-3.74009
5110,8.91662,-7.21547,-3.52574
5120,9.00595,-7.21165,-3.29923
5130,9.0921,-7.20851,-3.06124
5140,9.17404,-7.20603,-2.81249
5150,9.25082,-7.2042,-2.5538
5160,9.32155,-7.20299,-2.28599
5170,9.3854,-7.20238,-2.00998
5180,9.44164,-7.20235,-1.72674
5190,9.48961,-7.20288,-1.43726
5200,9.52878,-7.20394,-1.14261
5210,9.55869,-7.2055,-0.843874
5220,9.57902,-7.20753,-0.542171
5230,9.58952,-7.21,-0.238641
5240,9.59011,-7.21287,0.065562
5250,9.58078,-7.21611,0.369278
5260,9.56167,-7.21968,0.67136
5270,9.53301,-7.22354,0.970668
5280,9.49515,-7.22766,1.26608
5290,9.44857,-7.23199,1.55652
5300,9.39383,-7.2365,1.84093
5310,9.33159,-7.24114,2.11831
5320,9.26262,-7.24588,2.38771
5330,9.18775,-7.25066,2.64822
5340,9.1079,-7.25547,2.89901
5350,9.02406,-7.26025,3.13928
5360,8.93726,-7.26497,3.36832
5370,8.84859,-7.2696,3.58546
5380,8.75916,-7.27408,3.7901
5390,8.67013,-7.2784,3.98168
5400,8.58266,-7.28251,4.1597
5410,8.49791,-7.28638,4.3237
5420,8.41704,-7.28997,4.47323
5430,8.34119,-7.29327,4.60791
5440,8.27147,-7.29622,4.72735
5450,8.20897,-7.29881,4.83116
5460,8.15471,-7.301,4.91895
5470,8.10965,-7.30276,4.99031
5480,8.07469,-7.30406,5.04481
5490,8.05064,-7.30486,5.08195
5500,8.0382,-7.30514,5.1012
5510,8.03779,-7.30608,5.10051
5520,8.04902,-7.30881,5.07884
5530,8.07129,-7.31321,5.03699
5540,8.10384,-7.31915,4.97572
5550,8.14581,-7.3265,4.89573
5560,8.19624,-7.33513,4.79765
5570,8.2541,-7.34491,4.68211
5580,8.31828,-7.35571,4.54971
5590,8.38763,-7.36738,4.40106
5600,8.46099,-7.37979,4.23679
5610,8.53715,-7.39281,4.05751
5620,8.61491,-7.40631,3.86391
5630,8.6931,-7.42014,3.65671
5640,8.77054,-7.43417,3.43667
5650,8.84612,-7.44827,3.2046
5660,8.91875,-7.46232,2.96137
5670,8.98744,-7.47617,2.70792
5680,9.05125,-7.48971,2.44524
5690,9.10933,-7.50281,2.17437
5700,9.16095,-7.51536,1.89641
5710,9.20545,-7.52726,1.61251
