Time,Distance
7660,4.98934
7670,5.24984
7680,5.51053
7690,5.77116
7700,6.03153
7710,6.29144
7720,6.55075
7730,3.32267
7740,3.09516
7750,1.3448
7760,1.07619
7770,0.807356
7780,1.6006
7790,0.269201
7800,0
7810,0.232315
7820,0.464593
7830,0.69679
7840,0.92887
7850,1.1608
7860,1.39254
7870,1.62407
7880,1.85533
7890,2.08628
7900,2.3169
7910,2.54713
7920,2.77696
7930,3.00633
7940,3.23522
7950,3.46358
7960,3.69138
7970,3.91857
7980,4.14513
7990,4.37102
8000,4.5962
8010,3.77672
8020,4.00126
8030,4.22519
8040,4.44848
8050,4.67108
8060,4.89295
8070,5.11404
8080,1.64709
8090,1.42084
8100,0
8110,0.157081
8120,0.314152
8130,0.471211
8140,0.628244
8150,0.785263
8160,0.942235
8170,1.09918
8180,1.25607
8190,1.4129
8200,1.56968
8210,0.15707
8220,0.314165
8230,0.471221
8240,0.628256
8250,0.785253
8260,0.942231
8270,1.09915
8280,3.09893
8290,2.97684
8300,3.38789
8310,3.28829
8320,3.44384
8330,3.59921
8340,3.75445
8350,3.90949
8360,2.19603
8370,2.03958
8380,1.88302
8390,0.157079
8400,0
8410,0.226182
8420,0.452314
8430,9.95917
8440,9.91791
8450,9.87904
8460,10.92
8470,10.8875
8480,10.0311
8490,10.0732
8500,10.1176
8510,10.1642
8520,10.2129
8530,10.2638
8540,10.3167
8550,10.3716
8560,12.2542
8570,12.2013
8580,12.1494
8590,12.0986
8600,12.0489
8610,12.0002
8620,3.64736
8630,11.3737
8640,10.6317
8650,10.6349
8660,0.904471
8670,0.678428
8680,0.452316
8690,0.226164
8700,0
8710,1.14454
8720,1.22549
8730,1.30805
8740,1.39195
8750,1.47693
8760,1.56283
8770,2.7068
8780,2.79234
8790,2.87835
8800,3.42126
8810,3.51089
8820,3.60046
8830,3.68996
8840,3.77937
8850,3.86872
8860,0.844332
8870,0.907867
8880,0.975559
8890,1.0466
8900,1.12035
8910,1.19631
8920,1.27406
8930,1.35329
8940,0.550939
8950,0.459128
8960,0.367317
8970,0.275493
8980,0.183662
8990,0.0918318
9000,0
9010,0.255842
9020,0.511633
9030,0.767347
9040,1.02293
9050,1.27835
9060,1.53356
9070,1.78852
9080,2.04319
9090,2.29753
9100,2.5515
9110,2.80505
9120,3.05815
9130,3.31075
9140,3.56281
9150,3.8143
9160,3.44145
