Time,X,Y,Z
5150,8.93926,-7.10554,-3.68794
5160,9.08985,-7.06357,-3.3883
5170,9.23014,-7.02102,-3.08379
5180,9.35997,-6.97795,-2.77474
5190,9.47919,-6.9344,-2.46151
5200,9.58767,-6.89042,-2.14446
5210,9.68527,-6.84607,-1.82395
5220,9.7719,-6.80139,-1.50034
5230,9.84745,-6.75643,-1.17401
5240,9.91184,-6.71126,-0.845322
5250,9.96498,-6.6659,-0.514655
5260,10.0068,-6.62043,-0.182385
5270,10.0373,-6.57488,0.151107
5280,10.0565,-6.52932,0.485441
5290,10.0642,-6.4838,0.820239
5300,10.0605,-6.43836,1.15512
5310,10.0454,-6.39306,1.48969
5320,10.0189,-6.34795,1.82359
5330,9.98104,-6.30308,2.15642
5340,9.93187,-6.2585,2.48781
5350,9.87144,-6.21427,2.81737
5360,9.79982,-6.17043,3.14474
5370,9.71709,-6.12703,3.46954
5380,9.62334,-6.08413,3.7914
5390,9.51868,-6.04177,4.10995
5400,9.40324,-6,4.42483
5410,9.50161,-6.04261,4.14805
5420,9.59164,-6.08564,3.86852
5430,9.67326,-6.12905,3.58648
5440,9.74638,-6.17282,3.30217
5450,9.81096,-6.2169,3.01584
5460,9.86692,-6.26124,2.72775
5470,9.91423,-6.30583,2.43815
5480,9.95284,-6.3506,2.14729
5490,9.98272,-6.39553,1.85543
5500,10.0038,-6.44057,1.56281
5510,10.0162,-6.48569,1.26972
5520,10.0197,-6.53085,0.976383
5530,10.0145,-6.576,0.683076
5540,10.0004,-6.6211,0.390051
5550,9.97764,-6.66613,0.0975642
5560,9.94607,-6.71103,-0.194125
5570,9.90578,-6.75577,-0.484763
5580,9.8568,-6.80031,-0.774095
5590,9.79917,-6.84461,-1.06186
5600,9.73294,-6.88863,-1.34782
5610,9.65817,-6.93233,-1.63171
5620,9.57493,-6.97568,-1.91329
5630,9.48328,-7.01863,-2.19231
5640,9.38332,-7.06115,-2.46852
5650,9.27511,-7.1032,-2.74169
5660,9.15877,-7.14474,-3.01157
5670,9.0344,-7.18574,-3.27792
5680,8.90209,-7.22617,-3.54052
5690,8.76198,-7.26598,-3.79913
5700,8.61417,-7.30514,-4.05352
5710,8.61417,-7.30514,-4.05352
5720,8.61417,-7.30514,-4.05352
5730,8.61417,-7.30514,-4.05352
5740,8.61417,-7.30514,-4.05352
5750,8.61417,-7.30514,-4.05352
5760,8.61417,-7.30514,-4.05352
5770,8.61417,-7.30514,-4.05352
5780,8.61417,-7.30514,-4.05352
5790,8.61417,-7.30514,-4.05352
5800,8.61417,-7.30514,-4.05352
5810,8.61417,-7.30514,-4.05352
5820,8.61417,-7.30514,-4.05352
5830,8.61417,-7.30514,-4.05352
5840,8.61417,-7.30514,-4.05352
5850,8.61417,-7.30514,-4.05352
5860,8.61417,-7.30514,-4.05352
5870,8.61417,-7.30514,-4.05352
5880,8.61417,-7.30514,-4.05352
5890,8.61417,-7.30514,-4.05352
5900,8.61417,-7.30514,-4.05352
